Due Date,Rent Due,Back Due,BOP Due,Pmt 1: Check no.,Pmt 1: Method,Pmt 1: Date,Pmt 1: Amount,Late Fee,Rent Owed,Total Owed,EOP Due
2020-12-17,1900.0,-3276750.0,-3274850.0,199,venmo,2020-11-17,2100.0,150.0,-3276950.0,-3276800.0,-6553550.0
2021-01-17,1900.0,-6553550.0,-6551650.0,200,venmo,2020-12-17,2100.0,150.0,-6553750.0,-6553600.0,-13107150.0
2021-02-17,1900.0,-13107150.0,-13105250.0,201,venmo,2021-01-17,2100.0,150.0,-13107350.0,-13107200.0,-26214350.0
2021-03-17,1900.0,-26214350.0,-26212450.0,202,venmo,2021-02-17,2100.0,150.0,-26214550.0,-26214400.0,-52428750.0
2021-04-17,1900.0,-52428750.0,-52426850.0,203,venmo,2021-03-17,2100.0,150.0,-52428950.0,-52428800.0,-104857550.0
2021-05-17,1900.0,-104857550.0,-104855650.0,204,venmo,2021-04-17,2100.0,150.0,-104857750.0,-104857600.0,-209715150.0
2021-06-17,1900.0,-209715150.0,-209713250.0,205,venmo,2021-05-17,2100.0,150.0,-209715350.0,-209715200.0,-419430350.0
2021-07-17,1900.0,-419430350.0,-419428450.0,206,venmo,2021-06-17,2100.0,150.0,-419430550.0,-419430400.0,-838860750.0
2021-08-17,1900.0,-838860750.0,-838858850.0,207,venmo,2021-07-17,2100.0,150.0,-838860950.0,-838860800.0,-1677721550.0
2021-09-17,1900.0,-1677721550.0,-1677719650.0,208,venmo,2021-08-17,2100.0,150.0,-1677721750.0,-1677721600.0,-3355443150.0
2021-10-17,1900.0,-3355443150.0,-3355441250.0,209,venmo,2021-09-17,2100.0,150.0,-3355443350.0,-3355443200.0,-6710886350.0
2021-11-17,1900.0,-6710886350.0,-6710884450.0,210,venmo,2021-10-17,2100.0,150.0,-6710886550.0,-6710886400.0,-13421772750.0
2021-12-17,1900.0,-13421772750.0,-13421770850.0,211,venmo,2021-11-17,2100.0,150.0,-13421772950.0,-13421772800.0,-26843545550.0
2022-01-17,1900.0,-26843545550.0,-26843543650.0,212,venmo,2021-12-17,2100.0,150.0,-26843545750.0,-26843545600.0,-53687091150.0
2022-02-17,1900.0,-53687091150.0,-53687089250.0,213,venmo,2022-01-17,2100.0,150.0,-53687091350.0,-53687091200.0,-107374182350.0
2022-03-17,1900.0,-107374182350.0,-107374180450.0,214,venmo,2022-02-17,2100.0,150.0,-107374182550.0,-107374182400.0,-214748364750.0
2022-04-17,1900.0,-214748364750.0,-214748362850.0,215,venmo,2022-03-17,2100.0,150.0,-214748364950.0,-214748364800.0,-429496729550.0
2022-05-17,1900.0,-429496729550.0,-429496727650.0,216,venmo,2022-04-17,2100.0,150.0,-429496729750.0,-429496729600.0,-858993459150.0
2022-06-17,1900.0,-858993459150.0,-858993457250.0,217,venmo,2022-05-17,2100.0,150.0,-858993459350.0,-858993459200.0,-1717986918350.0
2022-07-17,1900.0,-1717986918350.0,-1717986916450.0,218,venmo,2022-06-17,2100.0,150.0,-1717986918550.0,-1717986918400.0,-3435973836750.0
2022-08-17,1900.0,-3435973836750.0,-3435973834850.0,219,venmo,2022-07-17,2100.0,150.0,-3435973836950.0,-3435973836800.0,-6871947673550.0
2022-09-17,1900.0,-6871947673550.0,-6871947671650.0,220,venmo,2022-08-17,2100.0,150.0,-6871947673750.0,-6871947673600.0,-13743895347150.0
2022-10-17,1900.0,-13743895347150.0,-13743895345250.0,221,venmo,2022-09-17,2100.0,150.0,-13743895347350.0,-13743895347200.0,-27487790694350.0
2022-11-17,1900.0,-27487790694350.0,-27487790692450.0,222,venmo,2022-10-17,2100.0,150.0,-27487790694550.0,-27487790694400.0,-54975581388750.0
2022-12-17,1900.0,-54975581388750.0,-54975581386850.0,223,venmo,2022-11-17,2100.0,150.0,-54975581388950.0,-54975581388800.0,-109951162777550.0
2023-01-17,1900.0,-109951162777550.0,-109951162775650.0,224,venmo,2022-12-17,2100.0,150.0,-109951162777750.0,-109951162777600.0,-219902325555150.0
2023-02-17,1900.0,-219902325555150.0,-219902325553250.0,225,venmo,2023-01-17,2100.0,150.0,-219902325555350.0,-219902325555200.0,-439804651110350.0
2023-03-17,1900.0,-439804651110350.0,-439804651108450.0,226,venmo,2023-02-17,2100.0,150.0,-439804651110550.0,-439804651110400.0,-879609302220750.0
2023-04-17,1900.0,-879609302220750.0,-879609302218850.0,227,venmo,2023-03-17,2100.0,150.0,-879609302220950.0,-879609302220800.0,-1759218604441550.0
2023-05-17,1900.0,-1759218604441550.0,-1759218604439650.0,228,venmo,2023-04-17,2100.0,150.0,-1759218604441750.0,-1759218604441600.0,-3518437208883150.0
2023-06-17,1900.0,-3518437208883150.0,-3518437208881250.0,229,venmo,2023-05-17,2100.0,150.0,-3518437208883350.0,-3518437208883200.0,-7036874417766350.0
