id,Payment Type,Amount,Date,Method,Tenant ID
48,rent,2250.0,2022-04-28,cash,2
49,rent,2250.0,2022-05-28,cash,2
50,rent,2250.0,2022-06-28,cash,2
51,rent,2250.0,2022-07-28,cash,2
52,rent,2250.0,2022-08-28,cash,2
53,rent,2250.0,2022-09-28,cash,2
54,rent,2250.0,2022-10-28,cash,2
55,rent,2250.0,2022-11-28,cash,2
56,rent,2250.0,2022-12-28,cash,2
57,rent,2250.0,2023-01-28,cash,2
58,rent,2250.0,2023-02-28,cash,2
59,rent,2250.0,2023-03-28,cash,2
60,security deposit,2250.0,2023-05-06,check,3
61,rent,2250.0,2023-05-06,check,3
62,rent,2250.0,2023-06-06,check,3
63,rent,2250.0,2023-07-06,check,3
64,rent,2250.0,2023-08-06,check,3
65,rent,2250.0,2023-09-06,check,3
66,rent,2250.0,2023-10-06,check,3
67,rent,2250.0,2023-11-06,check,3
68,rent,2250.0,2023-12-06,check,3
69,rent,2250.0,2024-01-06,check,3
70,rent,2250.0,2024-02-06,check,3
71,rent,2250.0,2024-03-06,check,3
72,rent,2250.0,2024-04-06,check,3
73,rent,2250.0,2024-05-06,check,3
74,rent,2250.0,2024-06-06,check,3
75,rent,2250.0,2024-07-06,check,3
76,rent,2250.0,2024-08-06,check,3
77,rent,2250.0,2024-09-06,check,3
78,rent,2250.0,2024-10-06,check,3
79,rent,2250.0,2024-11-06,check,3
80,rent,2250.0,2024-12-06,check,3
81,security deposit,2300.0,2015-09-23,venmo,4
82,rent,2300.0,2015-09-23,venmo,4
83,rent,2300.0,2015-10-23,venmo,4
84,rent,2300.0,2015-11-23,venmo,4
85,rent,2300.0,2015-12-23,venmo,4
86,rent,2300.0,2016-01-23,venmo,4
87,rent,2300.0,2016-02-23,venmo,4
88,rent,2300.0,2016-03-23,venmo,4
89,rent,2300.0,2016-04-23,venmo,4
90,rent,2300.0,2016-05-23,venmo,4
91,rent,2300.0,2016-06-23,venmo,4
92,rent,2300.0,2016-07-23,venmo,4
93,rent,2300.0,2016-08-23,venmo,4
94,rent,2300.0,2016-09-23,venmo,4
95,rent,2300.0,2016-10-23,venmo,4
96,rent,2300.0,2016-11-23,venmo,4
97,rent,2300.0,2016-12-23,venmo,4
98,rent,2300.0,2017-01-23,venmo,4
99,rent,2300.0,2017-02-23,venmo,4
100,rent,2300.0,2017-03-23,venmo,4
101,rent,2300.0,2017-04-23,venmo,4
102,rent,2300.0,2017-05-23,venmo,4
103,rent,2300.0,2017-06-23,venmo,4
104,rent,2300.0,2017-07-23,venmo,4
105,rent,2300.0,2017-08-23,venmo,4
106,rent,2300.0,2017-09-23,venmo,4
107,rent,2300.0,2017-10-23,venmo,4
108,rent,2300.0,2017-11-23,venmo,4
109,rent,2300.0,2017-12-23,venmo,4
110,rent,2300.0,2018-01-23,venmo,4
111,rent,2300.0,2018-02-23,venmo,4
112,rent,2300.0,2018-03-23,venmo,4
113,rent,2300.0,2018-04-23,venmo,4
114,rent,2300.0,2018-05-23,venmo,4
115,rent,2300.0,2018-06-23,venmo,4
116,rent,2300.0,2018-07-23,venmo,4
117,rent,2300.0,2018-08-23,venmo,4
118,rent,2300.0,2018-09-23,venmo,4
119,rent,2300.0,2018-10-23,venmo,4
120,rent,2300.0,2018-11-23,venmo,4
121,rent,2300.0,2018-12-23,venmo,4
122,rent,2300.0,2019-01-23,venmo,4
123,rent,2300.0,2019-02-23,venmo,4
124,rent,2300.0,2019-03-23,venmo,4
125,rent,2300.0,2019-04-23,venmo,4
126,rent,2300.0,2019-05-23,venmo,4
127,rent,2300.0,2019-06-23,venmo,4
128,rent,2300.0,2019-07-23,venmo,4
129,security deposit,2300.0,2019-09-02,check,5
130,rent,2300.0,2019-09-02,check,5
131,rent,2300.0,2019-10-02,check,5
132,rent,2300.0,2019-11-02,check,5
133,rent,2300.0,2019-12-02,check,5
134,rent,2300.0,2020-01-02,check,5
135,rent,2300.0,2020-02-02,check,5
136,rent,2300.0,2020-03-02,check,5
137,rent,2300.0,2020-04-02,check,5
138,rent,2300.0,2020-05-02,check,5
139,rent,2300.0,2020-06-02,check,5
140,rent,2300.0,2020-07-02,check,5
141,rent,2300.0,2020-08-02,check,5
142,rent,2300.0,2020-09-02,check,5
143,rent,2300.0,2020-10-02,check,5
144,rent,2300.0,2020-11-02,check,5
145,rent,2300.0,2020-12-02,check,5
146,rent,2300.0,2021-01-02,check,5
147,rent,2300.0,2021-02-02,check,5
148,security deposit,2300.0,2021-04-05,zelle,6
149,rent,2300.0,2021-04-05,zelle,6
150,rent,2300.0,2021-05-05,zelle,6
151,rent,2300.0,2021-06-05,zelle,6
152,rent,2300.0,2021-07-05,zelle,6
153,rent,2300.0,2021-08-05,zelle,6
154,rent,2300.0,2021-09-05,zelle,6
155,rent,2300.0,2021-10-05,zelle,6
156,rent,2300.0,2021-11-05,zelle,6
157,rent,2300.0,2021-12-05,zelle,6
158,rent,2300.0,2022-01-05,zelle,6
159,rent,2300.0,2022-02-05,zelle,6
160,rent,2300.0,2022-03-05,zelle,6
161,rent,2300.0,2022-04-05,zelle,6
162,rent,2300.0,2022-05-05,zelle,6
163,rent,2300.0,2022-06-05,zelle,6
164,rent,2300.0,2022-07-05,zelle,6
165,rent,2300.0,2022-08-05,zelle,6
166,rent,2300.0,2022-09-05,zelle,6
167,rent,2300.0,2022-10-05,zelle,6
168,rent,2300.0,2022-11-05,zelle,6
169,rent,2300.0,2022-12-05,zelle,6
170,rent,2300.0,2023-01-05,zelle,6
171,rent,2300.0,2023-02-05,zelle,6
172,rent,2300.0,2023-03-05,zelle,6
173,rent,2300.0,2023-04-05,zelle,6
174,rent,2300.0,2023-05-05,zelle,6
175,rent,2300.0,2023-06-05,zelle,6
176,rent,2300.0,2023-07-05,zelle,6
177,rent,2300.0,2023-08-05,zelle,6
178,rent,2300.0,2023-09-05,zelle,6
179,rent,2300.0,2023-10-05,zelle,6
180,rent,2300.0,2023-11-05,zelle,6
181,rent,2300.0,2023-12-05,zelle,6
182,rent,2300.0,2024-01-05,zelle,6
183,rent,2300.0,2024-02-05,zelle,6
184,rent,2300.0,2024-03-05,zelle,6
185,rent,2300.0,2024-04-05,zelle,6
186,rent,2300.0,2024-05-05,zelle,6
187,rent,2300.0,2024-06-05,zelle,6
188,rent,2300.0,2024-07-05,zelle,6
189,rent,2300.0,2024-08-05,zelle,6
190,rent,2300.0,2024-09-05,zelle,6
191,rent,2300.0,2024-10-05,zelle,6
192,rent,2300.0,2024-11-05,zelle,6
193,rent,2300.0,2024-12-05,zelle,6
194,security deposit,3150.0,2016-09-04,check,7
195,rent,3150.0,2016-09-04,check,7
196,rent,3150.0,2016-10-04,check,7
197,rent,3150.0,2016-11-04,check,7
198,rent,3150.0,2016-12-04,check,7
199,rent,3150.0,2017-01-04,check,7
200,rent,3150.0,2017-02-04,check,7
201,rent,3150.0,2017-03-04,check,7
202,rent,3150.0,2017-04-04,check,7
203,rent,3150.0,2017-05-04,check,7
204,rent,3150.0,2017-06-04,check,7
205,rent,3150.0,2017-07-04,check,7
206,rent,3150.0,2017-08-04,check,7
207,rent,3150.0,2017-09-04,check,7
208,rent,3150.0,2017-10-04,check,7
209,rent,3150.0,2017-11-04,check,7
210,rent,3150.0,2017-12-04,check,7
211,rent,3150.0,2018-01-04,check,7
212,rent,3150.0,2018-02-04,check,7
213,rent,3150.0,2018-03-04,check,7
214,rent,3150.0,2018-04-04,check,7
215,rent,3150.0,2018-05-04,check,7
216,rent,3150.0,2018-06-04,check,7
217,rent,3150.0,2018-07-04,check,7
218,rent,3150.0,2018-08-04,check,7
219,rent,3150.0,2018-09-04,check,7
220,rent,3150.0,2018-10-04,check,7
221,rent,3150.0,2018-11-04,check,7
222,rent,3150.0,2018-12-04,check,7
223,rent,3150.0,2019-01-04,check,7
224,rent,3150.0,2019-02-04,check,7
225,rent,3150.0,2019-03-04,check,7
226,rent,3150.0,2019-04-04,check,7
227,rent,3150.0,2019-05-04,check,7
228,rent,3150.0,2019-06-04,check,7
229,rent,3150.0,2019-07-04,check,7
230,rent,3150.0,2019-08-04,check,7
231,rent,3150.0,2019-09-04,check,7
232,rent,3150.0,2019-10-04,check,7
233,rent,3150.0,2019-11-04,check,7
234,rent,3150.0,2019-12-04,check,7
235,rent,3150.0,2020-01-04,check,7
236,rent,3150.0,2020-02-04,check,7
237,rent,3150.0,2020-03-04,check,7
238,rent,3150.0,2020-04-04,check,7
239,rent,3150.0,2020-05-04,check,7
240,rent,3150.0,2020-06-04,check,7
241,rent,3150.0,2020-07-04,check,7
242,rent,3150.0,2020-08-04,check,7
243,rent,3150.0,2020-09-04,check,7
244,rent,3150.0,2020-10-04,check,7
245,rent,3150.0,2020-11-04,check,7
246,rent,3150.0,2020-12-04,check,7
247,security deposit,3150.0,2021-01-17,venmo,8
248,rent,3150.0,2021-01-17,venmo,8
249,rent,3150.0,2021-02-17,venmo,8
250,rent,3150.0,2021-03-17,venmo,8
251,rent,3150.0,2021-04-17,venmo,8
252,rent,3150.0,2021-05-17,venmo,8
253,rent,3150.0,2021-06-17,venmo,8
254,rent,3150.0,2021-07-17,venmo,8
255,rent,3150.0,2021-08-17,venmo,8
256,rent,3150.0,2021-09-17,venmo,8
257,rent,3150.0,2021-10-17,venmo,8
258,rent,3150.0,2021-11-17,venmo,8
259,rent,3150.0,2021-12-17,venmo,8
260,rent,3150.0,2022-01-17,venmo,8
261,rent,3150.0,2022-02-17,venmo,8
262,rent,3150.0,2022-03-17,venmo,8
263,rent,3150.0,2022-04-17,venmo,8
264,rent,3150.0,2022-05-17,venmo,8
265,rent,3150.0,2022-06-17,venmo,8
266,rent,3150.0,2022-07-17,venmo,8
267,rent,3150.0,2022-08-17,venmo,8
268,rent,3150.0,2022-09-17,venmo,8
269,rent,3150.0,2022-10-17,venmo,8
270,rent,3150.0,2022-11-17,venmo,8
271,rent,3150.0,2022-12-17,venmo,8
272,rent,3150.0,2023-01-17,venmo,8
273,rent,3150.0,2023-02-17,venmo,8
274,rent,3150.0,2023-03-17,venmo,8
275,rent,3150.0,2023-04-17,venmo,8
276,rent,3150.0,2023-05-17,venmo,8
277,rent,3150.0,2023-06-17,venmo,8
278,rent,3150.0,2023-07-17,venmo,8
279,rent,3150.0,2023-08-17,venmo,8
280,rent,3150.0,2023-09-17,venmo,8
281,rent,3150.0,2023-10-17,venmo,8
282,rent,3150.0,2023-11-17,venmo,8
283,rent,3150.0,2023-12-17,venmo,8
284,rent,3150.0,2024-01-17,venmo,8
285,rent,3150.0,2024-02-17,venmo,8
286,rent,3150.0,2024-03-17,venmo,8
287,rent,3150.0,2024-04-17,venmo,8
288,rent,3150.0,2024-05-17,venmo,8
289,rent,3150.0,2024-06-17,venmo,8
290,rent,3150.0,2024-07-17,venmo,8
291,rent,3150.0,2024-08-17,venmo,8
292,rent,3150.0,2024-09-17,venmo,8
293,rent,3150.0,2024-10-17,venmo,8
294,rent,3150.0,2024-11-17,venmo,8
295,rent,3150.0,2024-12-17,venmo,8
296,security deposit,3200.0,2017-02-04,cash,9
297,rent,3200.0,2017-02-04,cash,9
298,rent,3200.0,2017-03-04,cash,9
299,rent,3200.0,2017-04-04,cash,9
300,rent,3200.0,2017-05-04,cash,9
301,rent,3200.0,2017-06-04,cash,9
302,rent,3200.0,2017-07-04,cash,9
303,rent,3200.0,2017-08-04,cash,9
304,rent,3200.0,2017-09-04,cash,9
305,rent,3200.0,2017-10-04,cash,9
306,rent,3200.0,2017-11-04,cash,9
307,rent,3200.0,2017-12-04,cash,9
308,rent,3200.0,2018-01-04,cash,9
309,rent,3200.0,2018-02-04,cash,9
310,rent,3200.0,2018-03-04,cash,9
311,rent,3200.0,2018-04-04,cash,9
312,rent,3200.0,2018-05-04,cash,9
313,rent,3200.0,2018-06-04,cash,9
314,rent,3200.0,2018-07-04,cash,9
315,rent,3200.0,2018-08-04,cash,9
316,rent,3200.0,2018-09-04,cash,9
317,rent,3200.0,2018-10-04,cash,9
318,rent,3200.0,2018-11-04,cash,9
319,rent,3200.0,2018-12-04,cash,9
320,rent,3200.0,2019-01-04,cash,9
321,rent,3200.0,2019-02-04,cash,9
322,rent,3200.0,2019-03-04,cash,9
323,rent,3200.0,2019-04-04,cash,9
324,rent,3200.0,2019-05-04,cash,9
325,rent,3200.0,2019-06-04,cash,9
326,rent,3200.0,2019-07-04,cash,9
327,rent,3200.0,2019-08-04,cash,9
328,rent,3200.0,2019-09-04,cash,9
329,rent,3200.0,2019-10-04,cash,9
330,rent,3200.0,2019-11-04,cash,9
331,rent,3200.0,2019-12-04,cash,9
332,rent,3200.0,2020-01-04,cash,9
333,rent,3200.0,2020-02-04,cash,9
334,rent,3200.0,2020-03-04,cash,9
335,rent,3200.0,2020-04-04,cash,9
336,rent,3200.0,2020-05-04,cash,9
337,rent,3200.0,2020-06-04,cash,9
338,rent,3200.0,2020-07-04,cash,9
339,rent,3200.0,2020-08-04,cash,9
340,rent,3200.0,2020-09-04,cash,9
341,rent,3200.0,2020-10-04,cash,9
342,rent,3200.0,2020-11-04,cash,9
343,rent,3200.0,2020-12-04,cash,9
344,rent,3200.0,2021-01-04,cash,9
345,rent,3200.0,2021-02-04,cash,9
346,rent,3200.0,2021-03-04,cash,9
347,rent,3200.0,2021-04-04,cash,9
348,rent,3200.0,2021-05-04,cash,9
349,rent,3200.0,2021-06-04,cash,9
350,security deposit,3200.0,2021-08-02,zelle,10
351,rent,3200.0,2021-08-02,zelle,10
352,rent,3200.0,2021-09-02,zelle,10
353,rent,3200.0,2021-10-02,zelle,10
354,rent,3200.0,2021-11-02,zelle,10
355,rent,3200.0,2021-12-02,zelle,10
356,rent,3200.0,2022-01-02,zelle,10
357,rent,3200.0,2022-02-02,zelle,10
358,rent,3200.0,2022-03-02,zelle,10
359,rent,3200.0,2022-04-02,zelle,10
360,rent,3200.0,2022-05-02,zelle,10
361,rent,3200.0,2022-06-02,zelle,10
362,rent,3200.0,2022-07-02,zelle,10
363,rent,3200.0,2022-08-02,zelle,10
364,rent,3200.0,2022-09-02,zelle,10
365,rent,3200.0,2022-10-02,zelle,10
366,rent,3200.0,2022-11-02,zelle,10
367,rent,3200.0,2022-12-02,zelle,10
368,rent,3200.0,2023-01-02,zelle,10
369,rent,3200.0,2023-02-02,zelle,10
370,rent,3200.0,2023-03-02,zelle,10
371,rent,3200.0,2023-04-02,zelle,10
372,rent,3200.0,2023-05-02,zelle,10
373,rent,3200.0,2023-06-02,zelle,10
374,rent,3200.0,2023-07-02,zelle,10
375,rent,3200.0,2023-08-02,zelle,10
376,rent,3200.0,2023-09-02,zelle,10
377,rent,3200.0,2023-10-02,zelle,10
378,rent,3200.0,2023-11-02,zelle,10
379,rent,3200.0,2023-12-02,zelle,10
380,rent,3200.0,2024-01-02,zelle,10
381,rent,3200.0,2024-02-02,zelle,10
382,rent,3200.0,2024-03-02,zelle,10
383,rent,3200.0,2024-04-02,zelle,10
384,rent,3200.0,2024-05-02,zelle,10
385,rent,3200.0,2024-06-02,zelle,10
386,rent,3200.0,2024-07-02,zelle,10
387,rent,3200.0,2024-08-02,zelle,10
388,rent,3200.0,2024-09-02,zelle,10
389,rent,3200.0,2024-10-02,zelle,10
390,rent,3200.0,2024-11-02,zelle,10
391,rent,3200.0,2024-12-02,zelle,10
392,security deposit,3450.0,2015-08-08,venmo,11
393,rent,3450.0,2015-08-08,venmo,11
394,rent,3450.0,2015-09-08,venmo,11
395,rent,3450.0,2015-10-08,venmo,11
396,rent,3450.0,2015-11-08,venmo,11
397,rent,3450.0,2015-12-08,venmo,11
398,rent,3450.0,2016-01-08,venmo,11
399,rent,3450.0,2016-02-08,venmo,11
400,rent,3450.0,2016-03-08,venmo,11
401,rent,3450.0,2016-04-08,venmo,11
402,rent,3450.0,2016-05-08,venmo,11
403,rent,3450.0,2016-06-08,venmo,11
404,rent,3450.0,2016-07-08,venmo,11
405,rent,3450.0,2016-08-08,venmo,11
406,security deposit,3450.0,2016-10-01,check,12
407,rent,3450.0,2016-10-01,check,12
408,rent,3450.0,2016-11-01,check,12
409,rent,3450.0,2016-12-01,check,12
410,rent,3450.0,2017-01-01,check,12
411,rent,3450.0,2017-02-01,check,12
412,rent,3450.0,2017-03-01,check,12
413,rent,3450.0,2017-04-01,check,12
414,rent,3450.0,2017-05-01,check,12
415,rent,3450.0,2017-06-01,check,12
416,rent,3450.0,2017-07-01,check,12
417,rent,3450.0,2017-08-01,check,12
418,rent,3450.0,2017-09-01,check,12
419,rent,3450.0,2017-10-01,check,12
420,rent,3450.0,2017-11-01,check,12
421,rent,3450.0,2017-12-01,check,12
422,rent,3450.0,2018-01-01,check,12
423,rent,3450.0,2018-02-01,check,12
424,rent,3450.0,2018-03-01,check,12
425,rent,3450.0,2018-04-01,check,12
426,rent,3450.0,2018-05-01,check,12
427,rent,3450.0,2018-06-01,check,12
428,rent,3450.0,2018-07-01,check,12
429,rent,3450.0,2018-08-01,check,12
430,rent,3450.0,2018-09-01,check,12
431,rent,3450.0,2018-10-01,check,12
432,rent,3450.0,2018-11-01,check,12
433,rent,3450.0,2018-12-01,check,12
434,security deposit,3450.0,2019-01-08,cash,13
435,rent,3450.0,2019-01-08,cash,13
436,rent,3450.0,2019-02-08,cash,13
437,rent,3450.0,2019-03-08,cash,13
438,rent,3450.0,2019-04-08,cash,13
439,rent,3450.0,2019-05-08,cash,13
440,rent,3450.0,2019-06-08,cash,13
441,rent,3450.0,2019-07-08,cash,13
442,rent,3450.0,2019-08-08,cash,13
443,rent,3450.0,2019-09-08,cash,13
444,rent,3450.0,2019-10-08,cash,13
445,rent,3450.0,2019-11-08,cash,13
446,rent,3450.0,2019-12-08,cash,13
447,rent,3450.0,2020-01-08,cash,13
448,rent,3450.0,2020-02-08,cash,13
449,rent,3450.0,2020-03-08,cash,13
450,rent,3450.0,2020-04-08,cash,13
451,rent,3450.0,2020-05-08,cash,13
452,rent,3450.0,2020-06-08,cash,13
453,rent,3450.0,2020-07-08,cash,13
454,rent,3450.0,2020-08-08,cash,13
455,rent,3450.0,2020-09-08,cash,13
456,rent,3450.0,2020-10-08,cash,13
457,rent,3450.0,2020-11-08,cash,13
458,rent,3450.0,2020-12-08,cash,13
459,rent,3450.0,2021-01-08,cash,13
460,rent,3450.0,2021-02-08,cash,13
461,rent,3450.0,2021-03-08,cash,13
462,rent,3450.0,2021-04-08,cash,13
463,rent,3450.0,2021-05-08,cash,13
464,rent,3450.0,2021-06-08,cash,13
465,rent,3450.0,2021-07-08,cash,13
466,rent,3450.0,2021-08-08,cash,13
467,rent,3450.0,2021-09-08,cash,13
468,security deposit,3450.0,2021-10-16,check,14
469,rent,3450.0,2021-10-16,check,14
470,rent,3450.0,2021-11-16,check,14
471,rent,3450.0,2021-12-16,check,14
472,rent,3450.0,2022-01-16,check,14
473,rent,3450.0,2022-02-16,check,14
474,rent,3450.0,2022-03-16,check,14
475,rent,3450.0,2022-04-16,check,14
476,rent,3450.0,2022-05-16,check,14
477,rent,3450.0,2022-06-16,check,14
478,rent,3450.0,2022-07-16,check,14
479,rent,3450.0,2022-08-16,check,14
480,rent,3450.0,2022-09-16,check,14
481,rent,3450.0,2022-10-16,check,14
482,rent,3450.0,2022-11-16,check,14
483,rent,3450.0,2022-12-16,check,14
484,rent,3450.0,2023-01-16,check,14
485,rent,3450.0,2023-02-16,check,14
486,rent,3450.0,2023-03-16,check,14
487,rent,3450.0,2023-04-16,check,14
488,rent,3450.0,2023-05-16,check,14
489,rent,3450.0,2023-06-16,check,14
490,security deposit,3450.0,2023-07-09,check,15
491,rent,3450.0,2023-07-09,check,15
492,rent,3450.0,2023-08-09,check,15
493,rent,3450.0,2023-09-09,check,15
494,rent,3450.0,2023-10-09,check,15
495,rent,3450.0,2023-11-09,check,15
496,rent,3450.0,2023-12-09,check,15
497,rent,3450.0,2024-01-09,check,15
498,rent,3450.0,2024-02-09,check,15
499,rent,3450.0,2024-03-09,check,15
500,rent,3450.0,2024-04-09,check,15
501,rent,3450.0,2024-05-09,check,15
502,rent,3450.0,2024-06-09,check,15
503,rent,3450.0,2024-07-09,check,15
504,rent,3450.0,2024-08-09,check,15
505,rent,3450.0,2024-09-09,check,15
506,rent,3450.0,2024-10-09,check,15
507,rent,3450.0,2024-11-09,check,15
508,rent,3450.0,2024-12-09,check,15
